DACP_Place_IDNumber,Total_populatio_e,NotHispanic_White_pop_e,Hispanic_or_Latino_population_e,Not_Hispanic_or_Latino_pop_e,DAC_Population,Percent_white_not_hispanic,Percent_latino,Pop_difference
652162,2010,105,1131,879,3926,5.223880597014925,56.26865671641791,-1916
652246,2035,1722,81,1954,281,84.61916461916462,3.98034398034398,1754
652302,5042,388,4654,388,3184,7.695358984529949,92.30464101547005,1858
652610,297,228,25,272,15,76.76767676767676,8.417508417508419,282
652764,1056,735,300,756,2482,69.60227272727273,28.40909090909091,-1426
653196,1230,847,333,897,59,68.86178861788618,27.073170731707318,1171
653378,126,126,0,126,221,100,0,-95
653490,420,376,5,415,287,89.52380952380953,1.1904761904761905,133
653602,1169,1076,68,1101,52,92.04448246364414,5.816937553464499,1117
653910,798,608,164,634,599,76.19047619047619,20.551378446115287,199
654218,1065,947,46,1019,281,88.92018779342723,4.31924882629108,784
655044,2346,96,2168,178,2957,4.092071611253197,92.41261722080137,-611
655422,202,154,40,162,17,76.23762376237624,19.801980198019802,185
