GEOID,Total_population_e,NotHispanic_White_pop_e,Hispanic_or_Latino_population_e,Not_Hispanic_or_Latino_pop_e,OBJECTID
15000US060014095001,1787,140,941,846,302
15000US060014095002,1357,74,755,602,303
15000US060014095003,1204,7,944,260,304
15000US060014096001,1267,0,804,463,305
15000US060014096002,692,48,394,298,306
15000US060014096003,946,10,583,363,307
15000US060014096004,483,23,233,250,308
15000US060014096005,1455,38,1077,378,309
15000US060014097001,973,23,333,640,310
15000US060014097002,2075,27,1337,738,311
15000US060014097003,1188,67,498,690,312
15000US060014097004,1257,14,608,649,313
15000US060014098001,843,157,109,734,314
15000US060014098002,1676,202,363,1313,315
15000US060014098003,701,7,19,682,316
15000US060014099001,678,186,182,496,317
15000US060014099002,682,100,135,547,318
15000US060014099003,1263,377,86,1177,319
15000US060014099004,826,157,105,721,320
15000US060014100001,875,645,44,831,321
15000US060014100002,2336,493,161,2175,322
15000US060014100003,13,13,0,13,323
15000US060014101001,1222,145,297,925,324
15000US060014101002,1512,126,174,1338,325
15000US060014102001,1634,63,968,666,326
15000US060014102002,966,52,195,771,327
15000US060014102003,774,117,141,633,328
15000US060014103001,628,52,409,219,329
15000US060014103002,1442,11,845,597,330
15000US060014103003,1464,6,1030,434,331
15000US060014104001,1285,24,660,625,332
15000US060014104002,1409,47,493,916,333
15000US060014104003,1807,209,802,1005,334
15000US060014105001,2303,128,190,2113,335
15000US060014201001,1075,648,104,971,336
15000US060014201002,661,538,12,649,337
15000US060014201003,696,406,54,642,338
15000US060014202001,1338,743,40,1298,339
15000US060014202002,1130,500,247,883,340
15000US060014202003,866,367,135,731,341
15000US060014203001,1529,629,267,1262,342
15000US060014203002,2256,796,153,2103,343
15000US060014203003,905,411,72,833,344
15000US060014204001,3301,886,848,2453,345
15000US060014205001,898,468,90,808,346
15000US060014205002,1604,856,143,1461,347
15000US060014206001,1231,1039,30,1201,348
15000US060014206002,886,617,121,765,349
15000US060014206003,1044,538,190,854,350
15000US060014211001,791,620,19,772,351
15000US060014211002,1332,1019,84,1248,352
15000US060014212001,605,471,33,572,353
15000US060014212002,1457,1165,136,1321,354
15000US060014212003,884,673,23,861,355
15000US060014212004,697,534,96,601,356
15000US060014213001,970,724,54,916,357
15000US060014213002,1275,1023,10,1265,358
15000US060014213003,890,662,43,847,359
15000US060014213004,807,662,8,799,360
15000US060014214001,1041,756,91,950,361
15000US060014214002,649,503,30,619,362
15000US060014215001,1208,984,22,1186,363
15000US060014215002,1270,970,59,1211,364
15000US060014215003,1349,1170,79,1270,365
15000US060014216001,916,677,36,880,366
15000US060014216002,1165,884,48,1117,367
15000US060014216003,706,478,17,689,368
15000US060014216004,723,538,83,640,369
15000US060014217001,1654,1151,148,1506,370
15000US060014217002,911,497,141,770,371
15000US060014217003,1046,712,71,975,372
15000US060014218001,1040,774,40,1000,373
15000US060014218002,1090,794,42,1048,374
